provider,model,math1,math2,math3,math4,math5,summary1,summary2,structuredJSON,structuredCSV,structuredYAML,structuredXML,structuredXML2,total
groq,llama3-8b-8192,306,252,328,261,298,489,424,201,263,202,239,467,3730
groq,llama-3.2-1b-preview,327,231,254,255,281,684,712,222,232,210,264,295,3967
groq,llama-3.2-3b-preview,388,294,287,278,300,482,472,222,230,204,231,981,4369
cerebras,llama3.1-8b,615,281,348,302,411,385,277,263,297,263,437,541,4420
cerebras,llama3.1-70b,617,249,579,502,276,604,555,192,193,192,487,582,5028
groq,llama-3.1-8b-instant,298,479,407,320,392,544,424,218,243,214,269,1241,5049
groq,llama3-70b-8192,395,520,575,421,486,655,596,278,335,320,319,1059,5959
groq,llama-3.3-70b-versatile,398,745,836,497,988,968,553,230,292,209,307,1200,7223
"ollama (runpod, 4090)",llama3.2:1b,1068,832,537,490,690,804,528,254,336,408,309,1516,7772
"ollama (runpod, a6000)",llama3.2:1b,912,969,663,681,922,1065,578,262,417,265,371,2157,9262
"ollama (runpod, 4090)",llama3.2:3b,2750,2297,834,583,874,1030,577,284,374,244,342,1282,11471
"ollama (runpod, a6000)",llama3.2:3b,3277,1595,678,1190,1164,1320,785,261,354,307,280,1819,13030
anthropic,claude-3-haiku-20240307,1587,3138,1454,1206,2056,1782,975,415,412,328,357,2098,15808
bedrock,us.amazon.nova-micro-v1:0,2560,4672,1965,856,2154,1135,710,342,447,394,408,1701,17344
"ollama (runpod, 4090)",llama3.1:8b,3720,765,889,870,1810,1547,955,343,510,290,607,5550,17856
"ollama (local, m1)",llama3.2:1b,3118,2720,1221,960,2225,3501,1840,185,532,402,859,3186,20749
bedrock,us.meta.llama3-2-1b-instruct-v1:0,2323,2045,2115,2077,2118,1128,2177,2051,985,2042,2039,2051,23151
"lmstudio (local, m1)",llama-3.2-1b-instruct,1543,1560,1634,1295,1775,3325,1558,123,790,118,417,11054,25192
"lmstudio (local, m1)",llama-3.2-3b-instruct,2416,1465,2871,1602,3469,4600,3507,354,397,317,333,4732,26063
bedrock,us.amazon.nova-lite-v1:0,3434,10855,2397,1097,2362,1280,728,339,446,400,454,2878,26670
bedrock,us.meta.llama3-2-3b-instruct-v1:0,4186,1847,1487,1025,3955,1801,958,4035,931,3980,640,3914,28759
anthropic,claude-3-5-haiku-20241022,3249,4478,2787,2698,5114,3706,2004,929,631,444,855,3095,29990
anthropic,claude-3-5-sonnet-20241022,4859,2062,3115,2888,4023,6284,2239,694,803,1015,801,4239,33022
bedrock,us.anthropic.claude-3-5-haiku-20241022-v1:0,4836,4792,3271,3328,5115,3448,2297,1040,934,799,1120,4025,35005
bedrock,us.anthropic.claude-3-5-haiku-20241022-v1:0,3919,6691,3658,3345,4865,3853,2003,847,1285,1779,1168,3993,37406
"ollama (local, m1)",llama3.2:3b,8279,5789,2320,1645,2010,6107,4338,304,495,190,587,5384,37448
bedrock,us.meta.llama3-1-70b-instruct-v1:0,1812,5853,4201,3285,4713,5791,2413,876,1234,774,1317,9457,41726
anthropic,claude-3-opus-20240229,3748,14871,5552,5850,11261,5540,3384,983,1929,699,2085,9731,65633
"ollama (runpod, a6000)",llama3.3:70b,24674,38243,33283,7514,19929,13811,5987,1265,1469,606,1715,20190,168686
bedrock,us.anthropic.claude-3-5-sonnet-20240620-v1:0,4952,6160,0,0,0,0,0,0,0,0,0,0,DNF
bedrock,us.amazon.nova-pro-v1:0,4227,13381,3841,1546,5557,0,1174,0,0,0,0,0,DNF
bedrock,us.anthropic.claude-3-opus-20240229-v1:0,8151,7891,0,0,0,0,0,0,0,0,0,0,DNF
openai,gpt-4,1380,1264,4001,3359,2876,4497,2172,686,1210,583,723,6292,
openai,gpt-4o-mini,879,7887,2219,1632,2586,1594,655,680,507,426,581,2109,gpt-4o,769,10444,2667,1759,2324,1857,1226,562,645,779,484,3313
llama-3.2-1b-preview,0,0,0,0,0,0,0,0,0,0,0,0
llama3-8b-8192,0,0,0,0,0,0,0,0,0,0,0,0
